task_id,agent,score,status
noisy_alert,Random,0.0,failed
noisy_alert,Random,0.1811,failed
noisy_alert,Random,0.0,failed
bad_deploy,Random,0.3591,failed
bad_deploy,Random,0.0,failed
bad_deploy,Random,0.0,failed
cascade_failure,Random,0.0,failed
cascade_failure,Random,0.0,failed
cascade_failure,Random,0.0,failed
cost_vs_performance,Random,0.0,failed
cost_vs_performance,Random,0.4124,failed
cost_vs_performance,Random,0.0,failed
fog_of_war,Random,0.0,failed
fog_of_war,Random,0.0,failed
fog_of_war,Random,0.0,failed
noisy_alert,Expert,0.8653,resolved
noisy_alert,Expert,0.8653,resolved
noisy_alert,Expert,0.8653,resolved
bad_deploy,Expert,0.8809,resolved
bad_deploy,Expert,0.8809,resolved
bad_deploy,Expert,0.8809,resolved
cascade_failure,Expert,0.8673,resolved
cascade_failure,Expert,0.8673,resolved
cascade_failure,Expert,0.8673,resolved
cost_vs_performance,Expert,0.8576,resolved
cost_vs_performance,Expert,0.8576,resolved
cost_vs_performance,Expert,0.8576,resolved
fog_of_war,Expert,0.8963,resolved
fog_of_war,Expert,0.8963,resolved
fog_of_war,Expert,0.8963,resolved
